
[0, 0]
[0.02, 0]
[0.07088433, 0]
[0.08745256, 0]
[0.1219469, 0]
[0.1219469, 2]
[0.1390146, 0]
[0.1550818, 0]
[0.1716481, 0]
[0.1882151, 0]
[0.2047818, 0]
[0.2213485, 0]
[0.2379148, 0]
[0.2544827, 0]
[0.2710482, 0]
[0.2876149, 0]
[0.3041815, 0]
[0.3207485, 0]
[0.3373152, 0]
[0.3538818, 0]
[0.3704485, 0]
[0.3870149, 0]
[0.4035819, 0]
[0.4201482, 0]
[0.4367149, 0]
[0.4532816, 0]
[0.4698482, 0]
[0.4864152, 0]
[0.5029819, 0]
[0.5195486, 0]
[0.5361152, 0]
[0.5526819, 0]
[0.569248, 0]
[0.5858155, 0]
[0.6023819, 0]
[0.618948, 0]
[0.635515, 0]
[0.652082, 0]
[0.6686487, 0]
[0.6852153, 0]
[0.7017817, 0]
[0.7183486, 0]
[0.734915, 0]
[0.751482, 0]
[0.7680483, 0]
[0.784615, 0]
[0.801182, 0]
[0.8177484, 0]
[0.8343154, 0]
[0.8508817, 0]
[0.8674484, 0]
[0.8840151, 0]
[0.9005821, 0]
[0.9171487, 0]
[0.9337151, 0]
[0.9502821, 0]
[0.9668484, 0]
[0.9834154, 0]
[0.9999821, 0]
[1.016548, 0]
[1.033115, 0]
[1.049682, 0]
[1.06625, 0]
[1.082815, 0]
[1.099382, 0]
[1.115948, 0]
[1.132515, 0]
[1.149081, 0]
[1.165648, 0]
[1.182215, 0]
[1.198781, 0]
[1.215348, 0]
[1.231915, 0]
[1.248482, 0]
[1.265048, 0]
[1.281615, 0]
[1.298182, 0]
[1.314748, 0]
[1.331315, 0]
[1.347881, 0]
[1.364449, 0]
[1.381015, 0]
[1.397582, 0]
[1.414149, 0]
[1.430715, 0]
[1.447282, 0]
[1.463848, 0]
[1.480416, 0]
[1.496982, 0]
[1.513549, 0]
[1.530115, 0]
[1.560096, 0]
[1.576664, 0]
[1.593231, 0]
[1.609798, 0]
[1.626364, 0]
[1.642931, 0]
[1.659497, 0]
[1.676064, 0]
[1.692632, 0]
[1.709197, 0]
[1.725766, 0]
[1.742331, 0]
[1.7589, 0]
[1.775464, 0]
[1.792032, 0]
[1.808597, 0]
[1.825168, 0]
[1.841731, 0]
[1.858298, 0]
[1.874864, 0]
[1.891431, 0]
[1.907997, 0]
[1.924564, 0]
[1.941131, 0]
[1.957698, 0]
[1.974264, 0]
[1.990831, 0]
[2.022439, 0]
[2.039006, 0]
[2.055573, 0]
[2.07214, 0]
[2.088706, 0]
[2.105273, 0]
[2.12184, 0]
[2.138406, 0]
[2.154974, 0]
[2.17154, 0]
[2.188107, 0]
[2.204674, 0]
[2.22124, 0]
[2.237807, 0]
[2.254373, 0]
[2.27094, 0]
[2.287507, 0]
[2.304074, 0]
[2.32064, 0]
[2.337206, 0]
[2.353774, 0]
[2.37034, 0]
[2.386908, 0]
[2.403473, 0]
[2.42004, 0]
[2.436607, 0]
[2.453173, 0]
[2.46974, 0]
[2.486307, 0]
[2.502873, 0]
[2.502873, 2]
[2.51944, 0]
[2.536007, 0]
[2.553895, 0]
[2.56996, 0]
[2.586529, 0]
[2.603095, 0]
[2.619661, 0]
[2.636228, 0]
[2.652795, 0]
[2.669361, 0]
[2.685928, 0]
[2.702494, 0]
[2.719061, 0]
[2.735628, 0]
[2.752194, 0]
[2.768761, 0]
[2.785329, 0]
[2.801895, 0]
[2.818461, 0]
[2.835028, 0]
[2.835028, 2]
[2.851595, 0]
[2.868161, 0]
[2.884728, 0]
[2.901295, 0]
[2.917861, 0]
[2.934429, 0]
[2.950995, 0]
[2.967561, 0]
[2.984128, 0]
[3.000695, 0]
[3.017262, 0]
[3.033828, 0]
[3.050395, 0]
[3.066962, 0]
[3.083529, 0]
[3.100095, 0]
[3.116662, 0]
[3.133229, 0]
[3.149795, 0]
[3.166362, 0]
[3.182928, 0]
[3.199495, 0]
[3.216061, 0]
[3.232628, 0]
[3.249195, 0]
[3.265762, 0]
[3.282328, 0]
[3.298895, 0]
[3.315462, 0]
[3.332028, 0]
[3.348595, 0]
[3.365162, 0]
[3.381728, 0]
[3.398295, 0]
[3.41486, 0]
[3.431428, 0]
[3.447995, 0]
[3.464561, 0]
[3.481128, 0]
[3.497695, 0]
[3.514262, 0]
[3.530828, 0]
[3.547395, 0]
[3.563962, 0]
[3.580528, 0]
[3.597095, 0]
[3.613662, 0]
[3.630228, 0]
[3.646795, 0]
[3.663362, 0]
[3.679928, 0]
[3.696496, 0]
[3.713061, 0]
[3.729628, 0]
[3.746195, 0]
[3.762762, 0]
[3.779328, 0]
[3.795895, 0]
[3.812462, 0]
[3.829028, 0]
[3.845595, 0]
[3.926303, 0]
[3.945439, 0]
[3.962006, 0]
[3.978573, 0]
[3.99514, 0]
[4.011707, 0]
[4.028274, 0]
[4.04484, 0]
[4.061407, 0]
[4.077974, 0]
[4.094541, 0]
[4.111109, 0]
[4.127674, 0]
[4.14424, 0]
[4.160808, 0]
[4.179532, 0]
[4.1961, 0]
[4.212667, 0]
[4.229233, 0]
[4.2458, 0]
[4.262366, 0]
[4.278933, 0]
[4.295501, 0]
[4.312067, 0]
[4.328634, 0]
[4.345208, 0]
[4.361767, 0]
[4.378334, 0]
[4.3949, 0]
[4.411467, 0]
[4.428033, 0]
[4.4446, 0]
[4.461166, 0]
[4.477733, 0]
[4.4943, 0]
[4.510867, 0]
[4.527433, 0]
[4.543999, 0]
[4.560567, 0]
[4.577133, 0]
[4.5937, 0]
[4.610267, 0]
[4.639812, 0]
[4.656379, 0]
[4.672946, 0]
[4.689512, 0]
[4.70608, 0]
[4.722646, 0]
[4.739213, 0]
[4.755779, 0]
[4.772346, 0]
[4.788913, 0]
[4.805479, 0]
[4.822046, 0]
[4.838613, 0]
[4.855179, 0]
[4.871746, 0]
[4.888313, 0]
[4.90488, 0]
[4.921445, 0]
[4.938621, 0]
[4.95458, 0]
[4.971146, 0]
[4.987713, 0]
[5.00428, 0]
[5.020846, 0]
[5.037413, 0]
[5.05398, 0]
[5.070547, 0]
[5.087113, 0]
[5.10368, 0]
[5.120246, 0]
[5.136813, 0]
[5.153379, 0]
[5.169947, 0]
[5.186513, 0]
[5.20308, 0]
[5.219646, 0]
[5.236213, 0]
[5.25278, 0]
[5.269346, 0]
[5.285913, 0]
[5.30248, 0]
[5.319557, 0]
[5.336124, 0]
[5.352691, 0]
[5.369258, 0]
[5.385825, 0]
[5.402391, 0]
[5.418958, 0]
[5.435525, 0]
[5.452091, 0]
[5.468658, 0]
[5.485225, 0]
[5.501791, 0]
[5.518359, 0]
[5.534925, 0]
[5.551492, 0]
[5.568058, 0]
[5.584625, 0]
[5.601192, 0]
[5.617758, 0]
[5.634325, 0]
[5.650891, 0]
[5.667459, 0]
[5.684025, 0]
[5.700592, 0]
[5.717158, 0]
[5.733725, 0]
[5.750292, 0]
[5.766859, 0]
[5.783425, 0]
[5.799992, 0]
[5.816558, 0]
[5.833127, 0]
[5.849691, 0]
[5.866259, 0]
[5.882825, 0]
[5.899391, 0]
[5.915958, 0]
[5.932525, 0]
[5.949091, 0]
[5.965658, 0]
[5.982225, 0]
[5.998792, 0]
[6.075377, 0]
[6.091945, 0]
[6.108511, 0]
[6.125614, 0]
[6.142182, 0]
[6.158749, 0]
[6.175315, 0]
[6.191883, 0]
[6.208449, 0]
[6.225015, 0]
[6.225015, 2]
[6.241582, 0]
[6.258307, 0]
[6.274716, 0]
[6.291282, 0]
[6.307849, 0]
[6.324416, 0]
[6.340982, 0]
[6.35755, 0]
[6.374115, 0]
[6.390682, 0]
[6.407249, 0]
[6.423816, 0]
[6.440382, 0]
[6.456949, 0]
[6.474959, 0]
[6.490082, 0]
[6.506649, 0]
[6.523215, 0]
[6.539783, 0]
[6.556348, 0]
[6.572916, 0]
[6.589482, 0]
[6.60605, 0]
[6.622616, 0]
[6.639182, 0]
[6.655749, 0]
[6.672316, 0]
[6.688883, 0]
[6.705449, 0]
[6.722016, 0]
[6.738582, 0]
[6.755149, 0]
[6.861634, 0]
[6.878202, 0]
[6.894769, 0]
[6.911336, 0]
[6.9339, 0]
[6.950469, 0]
[6.967034, 0]
[6.983602, 0]
[7.000168, 0]
[7.016735, 0]
[7.033302, 0]
[7.04987, 0]
[7.066436, 0]
[7.083002, 0]
[7.099568, 0]
[7.116135, 0]
[7.132702, 0]
[7.149268, 0]
[7.165835, 0]
[7.182402, 0]
[7.198969, 0]
[7.215535, 0]
[7.232102, 0]
[7.248669, 0]
[7.265235, 0]
[7.281802, 0]
[7.298368, 0]
[7.314935, 0]
[7.331502, 0]
[7.348068, 0]
[7.364635, 0]
[7.381202, 0]
[7.397768, 0]
[7.414336, 0]
[7.430902, 0]
[7.447469, 0]
[7.464035, 0]
[7.480602, 0]
[7.497169, 0]
[7.513735, 0]
[7.530302, 0]
[7.546869, 0]
[7.563435, 0]
[7.580004, 0]
[7.596569, 0]
[7.613136, 0]
[7.629702, 0]
[7.646269, 0]
[7.662836, 0]
[7.682687, 0]
[7.699254, 0]
[7.715822, 0]
[7.732388, 0]
[7.748955, 0]
[7.765522, 0]
[7.782088, 0]
[7.798655, 0]
[7.815222, 0]
[7.831788, 0]
[7.848355, 0]
[7.864922, 0]
[7.881488, 0]
[7.898055, 0]
[7.914622, 0]
[7.931188, 0]
[7.947755, 0]
[7.964322, 0]
[7.980888, 0]
[7.997455, 0]
[8.014022, 0]
[8.030588, 0]
[8.047154, 0]
[8.063722, 0]
[8.080289, 0]
[8.096855, 0]
[8.113421, 0]
[8.129988, 0]
[8.146555, 0]
[8.163121, 0]
[8.179688, 0]
[8.196256, 0]
[8.212823, 0]
[8.229388, 0]
[8.245955, 0]
[8.262523, 0]
[8.279088, 0]
[8.295655, 0]
[8.312222, 0]
[8.328789, 0]
[8.345355, 0]
[8.361924, 0]
[8.378489, 0]
[8.395055, 0]
[8.411622, 0]
[8.428188, 0]
[8.444755, 0]
[8.461322, 0]
[8.477994, 0]
[8.495256, 0]
[8.511824, 0]
[8.528391, 0]
[8.545046, 0]
[8.561614, 0]
[8.57818, 0]
[8.594748, 0]
[8.611315, 0]
[8.627881, 0]
[8.644447, 0]
[8.661014, 0]
[8.677581, 0]
[8.694148, 0]
[8.710714, 0]
[8.72728, 0]
[8.743848, 0]
[8.760414, 0]
[8.77698, 0]
[8.793548, 0]
[8.810114, 0]
[8.826681, 0]
[8.843246, 0]
[8.859814, 0]
[8.876381, 0]
[8.892948, 0]
[8.909514, 0]
[8.926081, 0]
[8.942648, 0]
[8.959214, 0]
[8.975781, 0]
[8.992348, 0]
[9.008915, 0]
[9.025481, 0]
[9.042048, 0]
[9.058614, 0]
[9.075181, 0]
[9.091747, 0]
[9.108315, 0]
[9.124881, 0]
[9.141449, 0]
[9.158014, 0]
[9.174582, 0]
[9.191148, 0]
[9.207714, 0]
[9.224281, 0]
[9.240848, 0]
[9.257415, 0]
[9.273981, 0]
[9.290548, 0]
[9.307115, 0]
[9.323681, 0]
[9.340248, 0]
[9.356814, 0]
[9.373381, 0]
[9.389947, 0]
[9.406514, 0]
[9.423081, 0]
[9.439647, 0]
[9.456215, 0]
[9.472781, 0]
[9.489347, 0]
[9.505914, 0]
[9.522481, 0]
[9.539047, 0]
[9.555614, 0]
[9.572181, 0]
[9.588747, 0]
[9.605314, 0]
[9.621881, 0]
[9.638448, 0]
[9.655015, 0]
[9.671581, 0]
[9.688148, 0]
[9.704715, 0]
[9.773098, 0]
[9.789665, 0]
[9.806232, 0]
[9.822799, 0]
[9.839365, 0]
[9.855932, 0]
[9.872499, 0]
[9.889066, 0]
[9.905632, 0]
[9.922199, 0]
[9.938766, 0]
[9.955333, 0]
[9.971899, 0]
[9.988466, 0]
[10.00503, 0]
[10.0216, 0]
[10.03817, 0]
[10.05473, 0]
[10.0713, 0]
[10.08787, 0]
[10.10443, 0]
[10.121, 0]
[10.13757, 0]
[10.15413, 0]
[10.1707, 0]
[10.18803, 0]
[10.20383, 0]
[10.2204, 0]
[10.23697, 0]
[10.25353, 0]
[10.2701, 0]
[10.28667, 0]
[10.30323, 0]
[10.3198, 0]
[10.33637, 0]
[10.35293, 0]
[10.3695, 0]
[10.38607, 0]
[10.40263, 0]
[10.4192, 0]
[10.43577, 0]
[10.45233, 0]
[10.4689, 0]
[10.48547, 0]
[10.50203, 0]
[10.5186, 0]
[10.53517, 0]
[10.55173, 0]
[10.57182, 0]
[10.58839, 0]
[10.60495, 0]
[10.62152, 0]
[10.63809, 0]
[10.65465, 0]
[10.67122, 0]
[10.68779, 0]
[10.70435, 0]
[10.72092, 0]
[10.73749, 0]
[10.75406, 0]
[10.77062, 0]
[10.78719, 0]
[10.80375, 0]
[10.82032, 0]
[10.83689, 0]
[10.85345, 0]
[10.87002, 0]
[10.88659, 0]
[10.90315, 0]
[10.91972, 0]
[10.93629, 0]
[10.95285, 0]
[10.96942, 0]
[10.98599, 0]
[11.00255, 0]
[11.01912, 0]
[11.03569, 0]
